================ Training Loss (Thu Jun 16 12:31:38 2022) ================
(epoch: 10, iters: 10, time: 0.254, data: 0.202) D_A: 0.106 G_A: 0.715 cycle_A: 0.446 idt_A: 0.370 D_B: 0.262 G_B: 0.256 cycle_B: 1.189 idt_B: 0.195 
(epoch: 20, iters: 10, time: 0.258, data: 0.366) D_A: 0.154 G_A: 0.454 cycle_A: 0.436 idt_A: 0.181 D_B: 0.258 G_B: 0.233 cycle_B: 0.620 idt_B: 0.140 
(epoch: 30, iters: 10, time: 0.261, data: 0.283) D_A: 0.172 G_A: 0.253 cycle_A: 0.302 idt_A: 0.197 D_B: 0.165 G_B: 0.212 cycle_B: 0.551 idt_B: 0.108 
(epoch: 40, iters: 10, time: 0.694, data: 0.202) D_A: 0.177 G_A: 0.439 cycle_A: 0.337 idt_A: 0.115 D_B: 0.256 G_B: 0.277 cycle_B: 0.339 idt_B: 0.119 
(epoch: 50, iters: 10, time: 0.266, data: 0.185) D_A: 0.117 G_A: 0.451 cycle_A: 0.369 idt_A: 0.114 D_B: 0.279 G_B: 0.235 cycle_B: 0.319 idt_B: 0.130 
(epoch: 60, iters: 10, time: 0.270, data: 0.167) D_A: 0.095 G_A: 0.559 cycle_A: 0.328 idt_A: 0.109 D_B: 0.267 G_B: 0.228 cycle_B: 0.274 idt_B: 0.111 
(epoch: 70, iters: 10, time: 0.273, data: 0.180) D_A: 0.156 G_A: 0.559 cycle_A: 0.270 idt_A: 0.115 D_B: 0.254 G_B: 0.216 cycle_B: 0.267 idt_B: 0.090 
(epoch: 80, iters: 10, time: 0.953, data: 0.153) D_A: 0.040 G_A: 0.281 cycle_A: 0.230 idt_A: 0.133 D_B: 0.251 G_B: 0.251 cycle_B: 0.303 idt_B: 0.078 
(epoch: 90, iters: 10, time: 0.271, data: 0.210) D_A: 0.122 G_A: 0.166 cycle_A: 0.244 idt_A: 0.104 D_B: 0.271 G_B: 0.321 cycle_B: 0.242 idt_B: 0.073 
(epoch: 100, iters: 10, time: 0.272, data: 0.198) D_A: 0.197 G_A: 0.510 cycle_A: 0.308 idt_A: 0.084 D_B: 0.278 G_B: 0.240 cycle_B: 0.198 idt_B: 0.109 
(epoch: 110, iters: 10, time: 0.271, data: 0.173) D_A: 0.088 G_A: 0.360 cycle_A: 0.245 idt_A: 0.092 D_B: 0.260 G_B: 0.218 cycle_B: 0.211 idt_B: 0.086 
(epoch: 120, iters: 10, time: 1.205, data: 0.184) D_A: 0.192 G_A: 0.540 cycle_A: 0.259 idt_A: 0.077 D_B: 0.243 G_B: 0.245 cycle_B: 0.186 idt_B: 0.091 
(epoch: 130, iters: 10, time: 0.273, data: 0.223) D_A: 0.034 G_A: 0.489 cycle_A: 0.218 idt_A: 0.113 D_B: 0.251 G_B: 0.298 cycle_B: 0.257 idt_B: 0.070 
