================ Training Loss (Mon Jun 13 06:06:06 2022) ================
(epoch: 10, iters: 10, time: 0.097, data: 0.200) G_GAN: 1.101 G_L1: 15.756 D_real: 0.917 D_fake: 0.109 
(epoch: 20, iters: 10, time: 0.095, data: 0.205) G_GAN: 2.175 G_L1: 10.371 D_real: 0.474 D_fake: 0.087 
(epoch: 30, iters: 10, time: 0.099, data: 0.224) G_GAN: 2.208 G_L1: 10.335 D_real: 0.490 D_fake: 0.341 
(epoch: 40, iters: 10, time: 0.319, data: 0.173) G_GAN: 2.736 G_L1: 9.820 D_real: 0.192 D_fake: 0.081 
(epoch: 50, iters: 10, time: 0.103, data: 0.184) G_GAN: 2.898 G_L1: 9.830 D_real: 0.162 D_fake: 0.303 
(epoch: 60, iters: 10, time: 0.105, data: 0.169) G_GAN: 2.169 G_L1: 14.628 D_real: 0.724 D_fake: 0.212 
(epoch: 70, iters: 10, time: 0.105, data: 0.159) G_GAN: 1.546 G_L1: 8.761 D_real: 0.168 D_fake: 0.062 
(epoch: 80, iters: 10, time: 0.384, data: 0.153) G_GAN: 0.605 G_L1: 7.411 D_real: 0.289 D_fake: 0.233 
(epoch: 90, iters: 10, time: 0.107, data: 0.181) G_GAN: 1.130 G_L1: 6.485 D_real: 1.726 D_fake: 0.161 
(epoch: 100, iters: 10, time: 0.108, data: 0.177) G_GAN: 0.805 G_L1: 5.581 D_real: 1.074 D_fake: 0.294 
(epoch: 110, iters: 10, time: 0.110, data: 0.166) G_GAN: 0.701 G_L1: 4.815 D_real: 1.283 D_fake: 0.242 
(epoch: 120, iters: 10, time: 0.485, data: 0.158) G_GAN: 0.692 G_L1: 2.600 D_real: 0.663 D_fake: 0.712 
(epoch: 130, iters: 10, time: 0.111, data: 0.163) G_GAN: 0.633 G_L1: 2.236 D_real: 0.623 D_fake: 0.741 
(epoch: 140, iters: 10, time: 0.110, data: 0.201) G_GAN: 0.685 G_L1: 2.013 D_real: 0.685 D_fake: 0.710 
(epoch: 150, iters: 10, time: 0.107, data: 0.202) G_GAN: 0.711 G_L1: 1.647 D_real: 0.739 D_fake: 0.663 
(epoch: 160, iters: 10, time: 0.605, data: 0.200) G_GAN: 0.683 G_L1: 1.620 D_real: 0.822 D_fake: 0.616 
(epoch: 170, iters: 10, time: 0.109, data: 0.172) G_GAN: 0.670 G_L1: 1.558 D_real: 0.669 D_fake: 0.701 
(epoch: 180, iters: 10, time: 0.106, data: 0.194) G_GAN: 0.700 G_L1: 2.192 D_real: 0.698 D_fake: 0.695 
(epoch: 190, iters: 10, time: 0.110, data: 0.175) G_GAN: 0.700 G_L1: 2.398 D_real: 0.687 D_fake: 0.686 
(epoch: 200, iters: 10, time: 0.707, data: 0.284) G_GAN: 0.678 G_L1: 1.366 D_real: 0.678 D_fake: 0.706 
(epoch: 210, iters: 10, time: 0.110, data: 0.233) G_GAN: 0.702 G_L1: 1.320 D_real: 0.697 D_fake: 0.707 
(epoch: 220, iters: 10, time: 0.109, data: 0.187) G_GAN: 0.714 G_L1: 2.131 D_real: 0.684 D_fake: 0.684 
(epoch: 230, iters: 10, time: 0.105, data: 0.169) G_GAN: 0.641 G_L1: 1.788 D_real: 0.636 D_fake: 0.734 
(epoch: 240, iters: 10, time: 0.974, data: 0.198) G_GAN: 0.715 G_L1: 1.228 D_real: 0.714 D_fake: 0.674 
(epoch: 250, iters: 10, time: 0.111, data: 0.215) G_GAN: 0.693 G_L1: 1.347 D_real: 0.698 D_fake: 0.688 
(epoch: 260, iters: 10, time: 0.111, data: 0.202) G_GAN: 0.708 G_L1: 1.888 D_real: 0.674 D_fake: 0.696 
(epoch: 270, iters: 10, time: 0.109, data: 0.161) G_GAN: 0.668 G_L1: 1.307 D_real: 0.658 D_fake: 0.727 
(epoch: 280, iters: 10, time: 0.951, data: 0.164) G_GAN: 0.708 G_L1: 1.007 D_real: 0.704 D_fake: 0.679 
(epoch: 290, iters: 10, time: 0.108, data: 0.210) G_GAN: 0.657 G_L1: 1.241 D_real: 0.638 D_fake: 0.749 
(epoch: 300, iters: 10, time: 0.108, data: 0.160) G_GAN: 0.645 G_L1: 1.289 D_real: 0.645 D_fake: 0.724 
(epoch: 310, iters: 10, time: 0.111, data: 0.173) G_GAN: 0.714 G_L1: 1.473 D_real: 0.804 D_fake: 0.637 
(epoch: 320, iters: 10, time: 1.085, data: 0.210) G_GAN: 0.678 G_L1: 0.924 D_real: 0.674 D_fake: 0.709 
(epoch: 330, iters: 10, time: 0.109, data: 0.194) G_GAN: 0.712 G_L1: 0.979 D_real: 0.697 D_fake: 0.684 
(epoch: 340, iters: 10, time: 0.111, data: 0.224) G_GAN: 0.695 G_L1: 1.004 D_real: 0.681 D_fake: 0.714 
(epoch: 350, iters: 10, time: 0.109, data: 0.208) G_GAN: 0.708 G_L1: 0.850 D_real: 0.723 D_fake: 0.663 
(epoch: 360, iters: 10, time: 1.140, data: 0.168) G_GAN: 0.775 G_L1: 0.970 D_real: 0.738 D_fake: 0.628 
(epoch: 370, iters: 10, time: 0.111, data: 0.210) G_GAN: 0.684 G_L1: 0.986 D_real: 0.655 D_fake: 0.724 
(epoch: 380, iters: 10, time: 0.108, data: 0.194) G_GAN: 0.727 G_L1: 1.065 D_real: 0.710 D_fake: 0.666 
(epoch: 390, iters: 10, time: 0.111, data: 0.183) G_GAN: 0.737 G_L1: 1.201 D_real: 0.731 D_fake: 0.652 
(epoch: 400, iters: 10, time: 1.339, data: 0.163) G_GAN: 0.699 G_L1: 1.032 D_real: 0.686 D_fake: 0.685 
